,model-all-e100-10L,model-all-e100-20L-1HR,model-year-e100-20L,model-all-e100-4L,model-2020-e100-20L-1HR,model-all-e100-20L
MSE,409.0408369216557,521.2672969734514,445.52255599577484,363.78409429035617,3408.7095037115205,457.5543531204043
abs_error,353240.6141357422,368133.40086364746,368051.7532119751,452804.4981765747,1095239.899181366,371272.6590194702
abs_target_sum,1142880.8021697998,1142880.8021697998,1142880.8021697998,1142880.8021697998,1142880.8021697998,1142880.8021697998
abs_target_mean,35.64187502791929,35.64187502791929,35.64187502791929,35.64187502791929,35.64187502791929,35.64187502791929
seasonal_error,2.3608032068857594,6.274190877715173,2.3608032068857594,2.3608032068857594,6.274190877715173,2.3608032068857594
MASE,4.487000693433788,1.9458887784184502,4.609849102359886,6.13357196828926,5.376022658771791,4.582029101497618
MAPE,0.5120253650848714,0.5453916987270025,0.5227245177766853,0.4598822184735643,1.194702381966509,0.5239230435565764
sMAPE,0.43395992605122036,0.4684550172775503,0.4375677634355743,0.5109208539492684,0.5885625852317852,0.42173196721358014
MSIS,59.32696423487513,23.015939582622877,60.278361033832546,70.0559269117776,31.873847906365224,55.6959771633975
QuantileLoss[0.5],353240.6138122678,368133.4007704258,368051.75199085474,452804.4963256717,1095239.9020216991,371272.6586384177
Coverage[0.5],0.40414852343072455,0.4024483398840005,0.43350286109804187,0.20939618725223386,0.7248977969157091,0.42823494478889224
QuantileLoss[0.75],287955.4368534684,296534.48357853293,283465.4828286767,480127.7948769033,785104.2977751216,286106.9100112766
Coverage[0.75],0.5934815780809137,0.5963968086200848,0.6228706499286668,0.2826081785415782,0.8565214772382993,0.6331077915302084
QuantileLoss[0.99],61892.950966341516,58633.65975191119,50025.57889259221,117269.25690368653,64885.57234901911,43407.61817332747
Coverage[0.99],0.9038074835807551,0.9152846365002147,0.9159939784912124,0.7768882443317701,0.9907232815240304,0.9422110174776759
RMSE,20.224758018865288,22.8312789167285,21.10740524071528,19.073124922003636,58.384154560218825,21.390520169467695
NRMSE,0.5674437162192691,0.6405745741166566,0.5922080480945868,0.5351324784979218,1.6380775285948022,0.6001513711810026
ND,0.30907913884379046,0.32211005746595195,0.32203861724968674,0.39619573390060386,0.9583150728422545,0.32485685148844556
wQuantileLoss[0.5],0.30907913856075625,0.32211005738438464,0.32203861618122853,0.3961957322810972,0.9583150753274946,0.32485685115503155
wQuantileLoss[0.75],0.2519557912835484,0.2594623017689611,0.24802716284192317,0.42010312358503493,0.6869520393417872,0.25033836378045066
wQuantileLoss[0.99],0.054155210979863824,0.05130339020534171,0.04377147537837443,0.10260847560047091,0.05677370048200262,0.03798087962534375
mean_absolute_QuantileLoss,234363.0005440259,241100.51470028996,233847.6045707079,350067.18270208716,648409.9240486133,233595.72894100728
mean_wQuantileLoss,0.20506338027472285,0.21095858311956248,0.20461241813384204,0.306302443822201,0.5673469383837614,0.20439203152027532
MAE_Coverage,0.11285413830253553,0.10862340499856664,0.08921083682735963,0.3237024632914726,0.11071418522601295,0.0788154154010745
